step,system_mean_speed,0_average_speed,0_queue_length
343.0,"(9.137148280068292,)",0.4230967790085606,5
344.0,"(8.511859202200872,)",0.3898153642447996,5
345.0,"(9.101180887745324,)",0.4219957840380951,6
346.0,"(8.925751837081872,)",0.4146766120100729,6
347.0,"(8.927473813374059,)",0.41314588676203984,8
348.0,"(9.321844681877918,)",0.429382824331285,8
349.0,"(9.488350160385927,)",0.4305613660505472,5
351.0,"(9.515458521146636,)",0.42731551222764236,5
352.0,"(9.636832484558456,)",0.430939221750549,5
353.0,"(7.966407846400901,)",0.3542432729820273,9
354.0,"(7.9682695559759695,)",0.3517978514176971,6
355.0,"(8.108086982271125,)",0.3575577852899819,6
356.0,"(8.348627024217484,)",0.36642791956745846,6
357.0,"(8.644879417298247,)",0.3796915296907668,7
358.0,"(8.136116412517733,)",0.3555455015366914,7
359.0,"(8.589825225120533,)",0.37618835862060096,7
361.0,"(7.537892881307832,)",0.3370805803010644,12
362.0,"(6.514438787827251,)",0.2845446331958683,10
363.0,"(6.374137384904887,)",0.2708996792796579,9
364.0,"(6.189767545384496,)",0.2686477901051851,10
365.0,"(6.5809042678015715,)",0.2899803081308503,9
366.0,"(7.293491489907338,)",0.333060931494794,6
367.0,"(8.169045262790787,)",0.3800071961788354,6
368.0,"(8.908580727987745,)",0.41876530778082505,6
369.0,"(7.765075186964856,)",0.39104561136171184,10
371.0,"(8.936115983034773,)",0.4323245137432486,6
372.0,"(9.569087618806002,)",0.44459178684940276,6
373.0,"(10.159047299964161,)",0.47218145262756,6
374.0,"(10.398581956018974,)",0.479622313434299,6
375.0,"(10.689240769740318,)",0.4911458526075609,6
376.0,"(10.052730321851877,)",0.4660065426703833,7
377.0,"(9.870538719622301,)",0.45687869051135505,7
378.0,"(9.424718497661987,)",0.43672183822941607,7
379.0,"(9.393602467640433,)",0.4383762960511472,6
381.0,"(7.968569092285016,)",0.38136224367061294,10
382.0,"(7.631368060049258,)",0.3696701535092088,6
383.0,"(7.347779176995468,)",0.3838883315648824,6
384.0,"(7.116823464688179,)",0.35681934847137026,6
385.0,"(6.0405540912601285,)",0.2804234926169059,11
386.0,"(6.2473593456488175,)",0.3036629632418685,7
387.0,"(6.475022022977493,)",0.3165236650082338,8
388.0,"(6.153709381443787,)",0.30038975798533507,9
389.0,"(6.494448339657622,)",0.3161902830249941,9
391.0,"(7.213418695690398,)",0.3378607305284993,9
392.0,"(6.9836250247827,)",0.328036123279967,9
393.0,"(7.213230655980287,)",0.3390433998492592,10
394.0,"(7.20890669598731,)",0.33050476908262244,11
395.0,"(7.261329212028142,)",0.3320338458333504,12
396.0,"(7.428998483137934,)",0.34066588024038463,9
397.0,"(7.251841014406907,)",0.3339879229846229,8
398.0,"(7.762934345503601,)",0.3622861487019616,7
399.0,"(8.302356641360124,)",0.3933764058846009,7
401.0,"(7.3761268221561584,)",0.35529978276882124,11
402.0,"(5.911141553747384,)",0.2908853210021949,7
403.0,"(5.559297707388764,)",0.2644929892587313,7
404.0,"(4.642738054603571,)",0.23224756129821014,10
405.0,"(4.89777515937309,)",0.2487420988212944,8
406.0,"(5.089261312846758,)",0.26326053519000164,7
407.0,"(4.762936806205879,)",0.23425432868310575,9
408.0,"(5.2324799492196465,)",0.25869723380881776,8
409.0,"(5.814699004013204,)",0.2844836567648985,9
411.0,"(7.4214443422775105,)",0.35691742547950095,9
412.0,"(7.396344232159763,)",0.3578663178916377,10
413.0,"(8.322029316514001,)",0.4027178882887145,10
414.0,"(9.123748202006853,)",0.44127360358461604,10
415.0,"(9.808953727798286,)",0.48089476194948594,7
416.0,"(10.20789318181675,)",0.5155698558020619,5
417.0,"(8.846603891058608,)",0.44582437010799925,9
418.0,"(8.520248649397988,)",0.40952675079510537,5
419.0,"(8.67007817776633,)",0.42750470234962074,5
421.0,"(8.11182062377603,)",0.39554442077210383,9
422.0,"(8.057475052377017,)",0.38056880960811146,7
423.0,"(8.678245032603513,)",0.4089047105837341,5
424.0,"(9.129755841991996,)",0.43056145219558023,6
425.0,"(8.817627775191418,)",0.4339682538665639,8
426.0,"(8.610305790477883,)",0.4270821678373014,8
427.0,"(8.766013762788734,)",0.4326487556915282,7
428.0,"(8.806108386758794,)",0.41773435465268705,7
429.0,"(8.816866200033795,)",0.41727437340903994,7
431.0,"(8.952650795840249,)",0.42820522686708257,7
432.0,"(9.2244762589642,)",0.4403379357014002,8
433.0,"(7.92972794861061,)",0.3786445489781499,13
434.0,"(8.064953708472999,)",0.38535828881266754,6
435.0,"(8.216321992632446,)",0.3910117804232095,4
