step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
915.0,2,98.0,5.764705882352941,11.020738618985106,2,112.0,0.15462325590241652,2,112.0,False,,
920.0,3,113.0,7.533333333333333,11.00733447465115,3,127.0,0.24710973314091067,3,127.0,False,,
925.0,3,128.0,9.142857142857142,9.922421969455266,3,142.0,0.0561242356522783,3,142.0,False,,
930.0,6,149.0,12.416666666666666,6.8245468332814605,6,163.0,0.11042591753703905,6,163.0,False,,
935.0,5,170.0,15.454545454545455,2.311722883475476,5,184.0,0.024634341995032026,5,184.0,False,,
940.0,8,202.0,20.2,2.0533382010239376,8,216.0,9.491950022497578e-05,8,216.0,False,,
945.0,7,235.0,29.375,0.15308243030255209,7,249.0,0.0,7,249.0,False,,
950.0,7,270.0,33.75,1.6307033386593757,7,284.0,0.0,7,284.0,False,,
955.0,7,305.0,43.57142857142857,0.0,7,319.0,0.0,7,319.0,False,,
960.0,7,340.0,48.57142857142857,0.0,7,354.0,0.0,7,354.0,False,,
965.0,9,325.0,21.666666666666668,2.0338530486267072,6,388.0,0.008221693678746287,6,388.0,False,,
970.0,4,283.0,14.894736842105264,7.560007923315048,4,310.0,0.04108781244037378,4,310.0,False,,
975.0,4,303.0,15.947368421052632,12.758481296495614,4,330.0,0.15937857085982157,4,330.0,False,,
980.0,5,328.0,19.294117647058822,10.080625406700578,5,355.0,0.2299868494852466,5,355.0,False,,
985.0,5,353.0,20.764705882352942,5.435326747191704,5,380.0,0.15562320604483867,5,380.0,False,,
990.0,7,386.0,27.571428571428573,1.1841399506989334,7,413.0,0.013947768423345941,7,413.0,False,,
995.0,11,433.0,33.30769230769231,0.9020390809174579,10,452.0,2.8667738775520924e-05,10,452.0,False,,
1000.0,11,488.0,40.666666666666664,1.1573437416677423,10,502.0,0.0,10,502.0,False,,
1005.0,9,512.0,46.54545454545455,0.20589295516606407,8,525.0,0.0,8,525.0,False,,
1010.0,9,557.0,37.13333333333333,1.9299861940902663,8,565.0,0.0,8,565.0,False,,
1015.0,9,602.0,46.30769230769231,3.9894075886273375,8,605.0,0.0,8,605.0,False,,
1020.0,9,647.0,49.76923076923077,5.967961765652571,8,645.0,0.0,8,645.0,False,,
1025.0,9,692.0,40.705882352941174,5.160812432946892,8,685.0,0.11242478811966657,8,685.0,False,,
1030.0,8,549.0,34.3125,5.049109986374953,7,537.0,0.037422845172404226,7,537.0,False,,
1035.0,6,201.0,12.5625,6.1713339378386,5,424.0,0.038210134191615036,5,424.0,False,,
1040.0,5,163.0,10.866666666666667,3.7685639189728106,5,409.0,0.09719849674710475,5,409.0,False,,
1045.0,7,85.0,6.538461538461538,1.6549570176188377,7,380.0,0.03447257740342521,7,380.0,False,,
1050.0,7,120.0,9.23076923076923,2.2940307197698577,7,415.0,0.013033054103537667,7,415.0,False,,
1055.0,10,165.0,15.0,1.297915416893528,10,460.0,0.0,10,460.0,False,,
1060.0,10,215.0,15.357142857142858,1.4360837656748409,10,510.0,0.0,10,510.0,False,,
1065.0,8,153.0,10.928571428571429,4.763653794458086,8,456.0,0.0,8,456.0,False,,
1070.0,8,193.0,13.785714285714286,7.388265346002756,8,496.0,0.0,8,496.0,False,,
1075.0,7,208.0,17.333333333333332,3.8904559483128605,7,462.0,0.11033722337713517,7,462.0,False,,
1080.0,5,188.0,17.09090909090909,1.7380258715261965,5,458.0,0.05299754015892941,5,458.0,False,,
1085.0,9,221.0,12.277777777777779,2.28492226893216,6,487.0,0.005353548697152379,6,487.0,False,,
1090.0,9,264.0,15.529411764705882,7.019708631399521,8,525.0,0.0,8,525.0,False,,
1095.0,8,295.0,17.352941176470587,9.062198168955113,7,551.0,0.0,7,551.0,False,,
1100.0,8,335.0,19.705882352941178,6.207303150537516,7,586.0,0.13997518467158848,7,586.0,False,,
1105.0,12,375.0,19.736842105263158,1.6510294456025427,7,621.0,0.021540458556307623,7,621.0,False,,
1110.0,12,427.0,22.473684210526315,4.29019239944343,10,665.0,0.0002575976967627773,10,665.0,False,,
1115.0,12,487.0,27.055555555555557,5.8468775195655525,10,715.0,0.0,10,715.0,False,,
1120.0,12,547.0,32.1764705882353,5.078526804828458,10,765.0,0.08906270513237724,10,765.0,False,,
1125.0,11,522.0,34.8,0.7085445536698655,9,628.0,0.03537878718961771,9,628.0,False,,
1130.0,9,269.0,17.933333333333334,1.4380920373802855,7,482.0,0.04115903024440934,7,482.0,False,,
1135.0,8,234.0,15.6,2.29827789938563,8,495.0,0.007441421865274997,8,495.0,False,,
1140.0,7,185.0,13.214285714285714,2.815497046897264,7,506.0,0.03341732104993822,7,506.0,False,,
1145.0,8,213.0,13.3125,2.6169886045951314,7,545.0,0.00808766207848064,7,545.0,False,,
1150.0,10,261.0,17.4,5.578993285874592,9,574.0,0.0,9,574.0,False,,
1155.0,9,200.0,11.11111111111111,4.679996049248611,8,508.0,0.0,8,508.0,False,,
1160.0,8,190.0,11.176470588235293,5.90678598804322,7,493.0,0.15716368658062513,7,493.0,False,,
1165.0,8,230.0,14.375,5.503604336471799,7,528.0,0.01380137422200127,7,528.0,False,,
1170.0,11,279.0,18.6,3.617929388819517,10,572.0,0.1483294704833016,10,572.0,False,,
1175.0,10,268.0,19.142857142857142,1.5797532361507265,9,553.0,0.013408200736183689,9,553.0,False,,
1180.0,12,323.0,24.846153846153847,0.6459690385731215,10,599.0,0.0004743578912542425,10,599.0,False,,
1185.0,11,364.0,28.0,1.197606251938344,9,630.0,0.0,9,630.0,False,,
1190.0,11,419.0,32.23076923076923,1.93949575187399,9,663.0,0.0,9,663.0,False,,
1195.0,10,424.0,38.54545454545455,0.10977494763753928,8,629.0,0.0,8,629.0,False,,
1200.0,7,368.0,33.45454545454545,1.8918641167144157,5,605.0,0.05461364324504552,5,605.0,False,,
1205.0,10,403.0,21.210526315789473,2.8437398856927643,5,630.0,0.0059598011313789865,5,630.0,False,,
1210.0,9,446.0,21.238095238095237,6.126515286573299,7,663.0,0.0,7,663.0,False,,
1215.0,8,443.0,21.095238095238095,10.546492851795117,6,663.0,0.0,6,663.0,False,,
1220.0,8,483.0,23.0,8.699108756447853,6,693.0,0.21058382804701764,6,693.0,False,,
1225.0,9,524.0,26.2,4.421378774198859,7,724.0,0.1015479412616338,7,724.0,False,,
1230.0,11,574.0,35.875,0.22739213852279164,9,764.0,0.008028517774512705,9,764.0,False,,
1235.0,14,633.0,39.5625,0.9025855911138689,11,810.0,1.868007002504273e-05,11,810.0,False,,
1240.0,13,597.0,39.8,0.8354445708562402,10,633.0,0.0,10,633.0,False,,
1245.0,10,341.0,24.357142857142858,1.677883832286693,7,481.0,0.034736407764213634,7,481.0,False,,
1250.0,5,148.0,8.705882352941176,1.4591096799821013,5,582.0,0.018319185269191792,5,582.0,False,,
1255.0,8,183.0,11.4375,4.502656023986597,8,664.0,0.0009823674143953343,8,664.0,False,,
1260.0,10,231.0,16.5,5.951306462689176,9,709.0,0.0,9,709.0,False,,
1265.0,10,281.0,12.772727272727273,4.156974083734598,9,754.0,0.11756576832111319,9,754.0,False,,
1270.0,10,331.0,15.761904761904763,6.312091087827857,9,807.0,0.013970386035634568,9,807.0,False,,
1275.0,13,388.0,18.476190476190474,7.206367360152653,11,856.0,0.07297118705830892,11,856.0,False,,
1280.0,13,453.0,21.571428571428573,4.232701011850659,11,911.0,0.11736887969036609,11,911.0,False,,
1285.0,14,519.0,25.95,3.122532023534505,12,967.0,0.00886008493459142,12,967.0,False,,
1290.0,15,519.0,27.31578947368421,1.299448635988442,12,968.0,7.988133058378556e-05,12,968.0,False,,
1295.0,15,594.0,33.0,2.2512909745777465,12,1028.0,0.0,12,1028.0,False,,
1300.0,15,669.0,35.21052631578947,1.0394380907610716,12,1088.0,0.0,12,1088.0,False,,
1305.0,15,744.0,39.1578947368421,3.4719691861692006,12,1148.0,0.0,12,1148.0,False,,
1310.0,14,797.0,41.94736842105263,4.232008463157097,11,1186.0,0.0,11,1186.0,False,,
